Имя файла: .gitignore, Размер файла: 42B, Полный путь к файлу: E:\SHEET\Cloud_files\.gitignore, Дата создания файла: 2023-10-27 22:29:51, Дата изменения файла: 2023-10-27 22:29:51
Имя файла: main.py, Размер файла: 3401B, Полный путь к файлу: E:\SHEET\Cloud_files\main.py, Дата создания файла: 2023-10-27 22:35:03, Дата изменения файла: 2023-10-27 22:40:44
Имя файла: pyvenv.cfg, Размер файла: 410B, Полный путь к файлу: E:\SHEET\Cloud_files\pyvenv.cfg, Дата создания файла: 2023-10-27 22:29:51, Дата изменения файла: 2023-10-27 22:29:52
